,Github Username,Week,Tested Method,Score
0,bwjustus,week2,lab2,2.0
1,bwjustus,week2,ninety_nine_bottles.rb,2.0
2,bwjustus,week2,deaf_grandma.rb,0.5
3,bwjustus,week2,extended_deaf_grandma.rb,0.5
4,bwjustus,week2,leap_year_counter.rb,0.67
5,bwjustus,week2,arr_sort.rb,2.0
6,bwjustus,week2,table_of_contents.rb,2.0
7,divyaempranthiri,week2,lab2,2.0
8,divyaempranthiri,week2,ninety_nine_bottles.rb,2.0
9,divyaempranthiri,week2,deaf_grandma.rb,2.0
10,divyaempranthiri,week2,extended_deaf_grandma.rb,0.5
11,divyaempranthiri,week2,leap_year_counter.rb,0.0
12,divyaempranthiri,week2,arr_sort.rb,2.0
13,divyaempranthiri,week2,table_of_contents.rb,2.0
14,lenzap497,week2,lab2,0.0
15,lenzap497,week2,ninety_nine_bottles.rb,2.0
16,lenzap497,week2,deaf_grandma.rb,2.0
17,lenzap497,week2,extended_deaf_grandma.rb,0.5
18,lenzap497,week2,leap_year_counter.rb,1.33
19,lenzap497,week2,arr_sort.rb,2.0
20,lenzap497,week2,table_of_contents.rb,2.0
21,Jeongung26,week2,lab2,2.0
22,Jeongung26,week2,ninety_nine_bottles.rb,2.0
23,Jeongung26,week2,deaf_grandma.rb,2.0
24,Jeongung26,week2,extended_deaf_grandma.rb,0.5
25,Jeongung26,week2,leap_year_counter.rb,0.67
26,Jeongung26,week2,arr_sort.rb,2.0
27,Jeongung26,week2,table_of_contents.rb,0.0
28,eduhmc,week2,lab2,2.0
29,eduhmc,week2,ninety_nine_bottles.rb,2.0
30,eduhmc,week2,deaf_grandma.rb,1.5
31,eduhmc,week2,extended_deaf_grandma.rb,0.5
32,eduhmc,week2,leap_year_counter.rb,1.33
33,eduhmc,week2,arr_sort.rb,2.0
34,eduhmc,week2,table_of_contents.rb,0.0
